Win Rate,Drafts,Packs,Starting Gems,Format
0.57,16,48,15000,Sealed
0.57,47,65,15000,Quick
0.57,20,63,15000,Competetive
0.57,22,66,15000,Sealed
0.57,52,70,15000,Quick
0.57,19,57,15000,Competetive
0.57,14,42,15000,Sealed
0.57,58,81,15000,Quick
0.57,49,193,15000,Competetive
0.57,18,54,15000,Sealed
0.57,44,59,15000,Quick
0.57,40,154,15000,Competetive
0.57,16,48,15000,Sealed
0.57,37,47,15000,Quick
0.57,21,68,15000,Competetive
0.57,16,48,15000,Sealed
0.57,46,64,15000,Quick
0.57,17,48,15000,Competetive
0.57,22,66,15000,Sealed
0.57,43,56,15000,Quick
0.57,44,168,15000,Competetive
0.57,25,75,15000,Sealed
0.57,40,55,15000,Quick
0.57,42,161,15000,Competetive
0.57,20,60,15000,Sealed
0.57,50,72,15000,Quick
0.57,35,130,15000,Competetive
0.57,23,69,15000,Sealed
0.57,41,53,15000,Quick
0.57,63,251,15000,Competetive
0.57,25,75,15000,Sealed
0.57,56,78,15000,Quick
0.57,22,71,15000,Competetive
0.57,20,60,15000,Sealed
0.57,43,50,15000,Quick
0.57,26,90,15000,Competetive
0.57,20,60,15000,Sealed
0.57,45,63,15000,Quick
0.57,31,112,15000,Competetive
0.57,21,63,15000,Sealed
0.57,45,64,15000,Quick
0.57,28,101,15000,Competetive
0.57,16,48,15000,Sealed
0.57,43,60,15000,Quick
0.57,50,196,15000,Competetive
0.57,29,87,15000,Sealed
0.57,41,52,15000,Quick
0.57,34,125,15000,Competetive
0.57,21,63,15000,Sealed
0.57,47,60,15000,Quick
0.57,22,70,15000,Competetive
0.57,24,72,15000,Sealed
0.57,47,69,15000,Quick
0.57,29,101,15000,Competetive
0.57,19,57,15000,Sealed
0.57,30,41,15000,Quick
0.57,21,64,15000,Competetive
0.57,21,63,15000,Sealed
0.57,50,74,15000,Quick
0.57,29,104,15000,Competetive
0.57,15,45,15000,Sealed
0.57,52,68,15000,Quick
0.57,38,141,15000,Competetive
0.57,22,66,15000,Sealed
0.57,51,73,15000,Quick
0.57,24,77,15000,Competetive
0.57,20,60,15000,Sealed
0.57,43,54,15000,Quick
0.57,32,116,15000,Competetive
0.57,29,87,15000,Sealed
0.57,33,41,15000,Quick
0.57,25,80,15000,Competetive
0.57,13,39,15000,Sealed
0.57,53,78,15000,Quick
0.57,27,97,15000,Competetive
0.57,16,48,15000,Sealed
0.57,43,62,15000,Quick
0.57,37,140,15000,Competetive
0.57,24,72,15000,Sealed
0.57,49,65,15000,Quick
0.57,33,118,15000,Competetive
0.57,16,48,15000,Sealed
0.57,46,70,15000,Quick
0.57,49,188,15000,Competetive
0.57,23,69,15000,Sealed
0.57,47,68,15000,Quick
0.57,45,175,15000,Competetive
0.57,19,57,15000,Sealed
0.57,56,79,15000,Quick
0.57,60,240,15000,Competetive
0.57,16,48,15000,Sealed
0.57,43,62,15000,Quick
0.57,34,125,15000,Competetive
0.57,15,45,15000,Sealed
0.57,50,74,15000,Quick
0.57,30,108,15000,Competetive
0.57,20,60,15000,Sealed
0.57,63,94,15000,Quick
0.57,24,78,15000,Competetive
0.57,17,51,15000,Sealed
0.57,48,68,15000,Quick
0.57,34,121,15000,Competetive
0.57,16,48,15000,Sealed
0.57,45,63,15000,Quick
0.57,27,94,15000,Competetive
0.57,14,42,15000,Sealed
0.57,63,89,15000,Quick
0.57,33,124,15000,Competetive
0.57,19,57,15000,Sealed
0.57,50,73,15000,Quick
0.57,26,86,15000,Competetive
0.57,23,69,15000,Sealed
0.57,49,68,15000,Quick
0.57,30,106,15000,Competetive
0.57,20,60,15000,Sealed
0.57,39,52,15000,Quick
0.57,29,99,15000,Competetive
0.57,21,63,15000,Sealed
0.57,53,78,15000,Quick
0.57,20,61,15000,Competetive
0.57,19,57,15000,Sealed
